,BMTCB,GETCB,HYTCB,NUETB,SOTCB,WYTCB,ARTCB,AVTCB,CLTCB,DFTCB,JFTCB,KSTCB,LGTCB,MGTCB,NGTCB,RFTCB,WWTCB
1960,4012.94849,0,32168.50488,0,0,0,5726.26021,3531.04046,209.57935,16236.12095,25325.11054,363.56068,2903.00986,64942.94259,140274.585,784.96552,4012.94849
1961,3836.9629,0,31245.74745,0,0,0,6274.82747,2323.87083,210.66932,18123.42718,27427.81698,208.36015,3033.06774,67298.20319,159092.955,597.44381,3836.9629
1962,3672.12878,0,30861.24516,0,0,0,5741.4451,3776.94172,6290.98311,17582.33985,30281.2013,141.99194,3926.29514,71849.36221,163460.655,926.00054,3672.12878
1963,4027.53031,0,30833.67301,0,0,0,8193.88866,3399.17777,8432.01905,20508.65091,31013.70319,81.83999,4049.56985,74770.41043,169532.724,713.022,4027.53031
1964,4089.10173,0,30181.71918,0,0,0,7749.17493,3005.9157,9102.72547,20521.74901,32457.76126,153.65309,4139.33166,76545.80129,174623,1309.98115,4089.10173
1965,3695.21696,0,46399.81125,0,0,0,7369.23613,2411.14403,7030.44355,20552.72585,30064.61836,175.64764,4233.62057,78778.59221,166063.384,512.62972,3695.21696
1966,3679.36818,0,54380.45399,0,0,0,12551.17339,2634.70602,7372.74514,23013.8905,32416.56327,211.04642,2978.28198,83230.5813,174447.576,431.99989,3679.36818
1967,4180.13105,0,52242.53798,0,0,0,13390.92356,2721.23071,7183.65905,21466.14404,38383.68086,243.66377,4088.06101,85371.77869,169085.3661,566.32485,4180.13105
1968,4147.20373,0,59309.14887,0,0,0,15229.11009,2402.64421,8137.1679,26769.53537,44161.97235,79.24449,4159.82391,93163.95183,189964.9013,740.25527,4147.20373
1969,4389.1241,0,63450.93827,0,0,0,18102.82252,2168.1322,8381.44702,27398.98476,40764.81947,79.47974,4602.21743,105162.8151,210332.0103,1019.50589,4389.1241
1970,4339.3804,0,64579.78217,0,0,0,24413.71573,2157.63166,8622.9298,28533.90971,36390.76758,935.54972,4927.29454,113158.097,204382.7089,662.84419,4339.3804
1971,4526.40288,0,69609.84906,0,0,0,19444.06291,2113.40406,8875.93953,30523.7929,37050.18988,895.85972,4994.31856,120592.0192,225898.1239,3357.42958,4526.40288
1972,4782.42417,0,70406.32015,0,0,0,23661.18928,2070.50333,7522.79594,44133.91402,38219.47799,583.99617,5359.61142,134253.2247,241355.3408,10069.67483,4782.42417
1973,4574.10469,0,74774.3496,0,0,0,22666.35367,1813.71298,9926.90018,59967.04952,39858.21439,510.29983,5102.49467,146166.6443,226324.748,46093.79535,4574.10469
1974,4782.71253,0,77275.3736,0,0,0,26101.18145,2046.76309,48358.9072,55529.90639,39848.85011,1275.74972,5509.50447,140346.5464,204955.2307,51505.16519,4782.71253
1975,5413.77876,0,75483.5631,0,0,0,15467.14354,1806.92085,92448.56979,59083.83937,39039.36254,1205.09272,4157.96954,145529.7838,164345.6261,37358.31767,5413.77876
1976,5816.28547,0,78612.19542,0,0,0,13486.38673,1700.67009,139959.9045,58867.61729,36798.14488,1975.07436,3395.565,151998.0564,180180.8666,35574.53678,5816.28547
1977,6838.2955,0,68842.57507,0,0,0,14402.04909,1890.50371,179847.4746,73870.35577,39602.38373,3180.03265,3474.9137,161606.7233,176448.9725,48947.96724,6838.2955
1978,7128.91807,0,72740.79923,0,0,0,17829.46339,1724.15869,159979.5618,83786.6365,40986.72676,2829.32921,4186.7658,170362.1394,186366.0558,31180.22906,7128.91807
1979,8291.19153,0,75122.5793,0,0,0,19633.41526,1864.05512,246230.2266,69738.79751,43360.14014,567,6400.73962,168575.5617,180579.7877,30967.74865,8291.19153
1980,17835.00581,0,102171.4233,0,0,0,13677.1789,1416.42221,244994.3448,62729.88861,43937.25799,413.91,5838.19498,160684.0263,173977.1714,8419.09428,17835.00581
1981,21468.86588,0,71114.17364,0,0,0,10862.66058,1136.46502,319438.1119,58193.00518,41601.47379,606.69,4656.55284,161921.951,192207.5839,1629.24588,21451.13133
1982,21634.73747,0,73333.60779,0,0,0,10098.8161,791.3684,336245.059,48108.97533,42564.42395,102.07089,5983.7087,165156.8344,142322.8669,2000.01384,21592.71134
1983,23643.69664,0,152355.3319,0,0,0,10928.741,788.21239,295441.9187,52057.44816,39106.88485,37.12478,5978.14747,173322.9376,120418.0545,3365.14768,23637.46993
1984,25139.34211,0,163692.0068,0,0,0,16488.61101,958.44599,324862.346,55902.15454,44211.48638,31.86002,5439.12541,181709.327,126844.1484,3422.89811,25139.34211
1985,25557.79475,0,146122.6278,12004.66574,0,0,17009.40237,928.6003,342012.7337,58885.79625,39420.8768,92.87794,6204.45255,189885.9307,137315.0258,1106.82811,25557.79475
1986,24042.52306,0,151060.2537,105540.3568,0,0,16790.93144,1139.21406,295888.0014,65104.90019,42580.39742,315.23346,6202.91174,198793.9786,105197.2061,255.2146,24042.52306
1987,17521.24706,0,105592.3349,140531.7148,0,0,16535.24995,1046.85202,282881.8233,59629.55421,46404.14447,283.77981,7107.69893,206289.2739,121405.8387,766.30684,17521.24706
1988,18364.61939,0,80384.6875,243215.0432,0,0,17806.40229,937.93536,309040.895,60050.54239,47010.34801,316.04387,6283.52686,211252.7987,128594.321,343.28786,18364.61939
1989,15620.34064,235.1,82170.81933,83079.97889,3527.55728,0,15832.11233,1060.83634,353144.049,65271.25451,45292.06745,281.60197,5921.21174,213524.9963,151467.8402,958.50916,15620.34064
1990,13740.58609,235.70453,77157.62555,217964.745,3682.45319,0,15704.63981,979.10236,343414.509,66234.14897,47305.87698,112.59123,5465.4643,206580.6572,130781.2465,174.34197,13740.58609
1991,14585.36246,236.2166,70292.09544,263104.1156,3730.50348,0,14472.4881,950.18822,347261.3399,59891.2869,53729.18179,205.79441,6142.76744,213235.3501,128178.1975,1256.5063,14585.36246
1992,15094.93557,236.72663,68471.86889,268148.7605,3789.45591,0,19801.47369,797.6051,369742.9504,66622.89521,46425.57316,17.6024,7591.24457,218291.9536,133771.0614,656.83923,15094.93557
1993,13870.681,237.16575,69040.28019,231601.4355,3874.57351,0,15446.88237,646.00038,389838.7377,82549.73723,44237.14578,19.75735,6646.02971,226015.0706,118159.0624,1193.4177,13594.36811
1994,14181.80795,236.423,75981.7243,242182.1841,3924.91643,0,17082.92414,716.82216,402390.1462,80675.64486,41933.39554,17.08615,6784.7275,236359.9751,139733.0287,1257.23622,13458.90461
1995,16653.19869,236.85549,85470.17673,283526.2151,3944.4461,0,20822.50723,702.70507,342889.3714,88100.50469,43014.59834,21.40391,7020.01408,245934.5468,127944.6977,508.73536,14379.84124
1996,14707.18648,237.24082,95276.44104,302902.1823,3965.25746,0,16323.78299,780.22736,342839.3757,101276.5414,44912.38603,38.83128,5870.45121,257759.4189,125264.8684,673.69317,12789.83596
1997,16422.29317,237.74535,123060.4507,307623.2148,3918.4599,0,17944.75579,761.41139,369871.869,104330.0044,45232.20887,46.73776,4352.63186,254831.4986,137588.4515,91.15767,14517.49289
