,GDPRX,NUETD,TEGDS,TETCB,TPOPP,ARTCD,AVTCD,CLTCD,DFTCD,JFTCD,KSTCD,LGTCD,MGTCD,NGTCD,RFTCD,WWTCD,BMTCB,GETCB,HYTCB,NUETD.1,SOTCB,WYTCB,GDPrate,,,
1960,10603.67834,0,10.2168882,283128.7124,1321,0.576756724,0.371810202,0.009594272,0.381678496,0.209484043,0.473047749,0.171174162,1.09059647,0.077880568,0.003901492,0.755408397,0.843009967,0.96701495,0.548009967,0,3.369635756,2.062610845,302.3,,,
1961,12121.61561,0,10.00893407,304970.1483,1407,0.605251763,0.461176765,0.012685215,0.45228279,0.248094647,0.507282679,0.224272307,1.209804478,0.096436157,0.007090631,0.788321054,0.841039735,0.964059602,0.546039735,0,3.326108941,2.031047092,305.53,,,
1962,13519.34801,0,9.812171505,325085.2416,1471,0.635134527,0.567826134,0.016841238,0.533395725,0.292475597,0.544154631,0.291408804,1.338823843,0.118748133,0.012546731,0.822647338,0.839089107,0.96113366,0.544089107,0,3.282582127,1.99948334,309.2,,,
1963,15086.99622,0,9.626873872,348480.5723,1521,0.666471743,0.69400912,0.02240065,0.626060203,0.343216119,0.584088461,0.375488473,1.478049024,0.1454085,0.02161563,0.858447068,0.837157888,0.958236832,0.542157888,0,3.239055312,1.967919587,313.03,,,
1964,16514.34036,0,9.453304835,369844.6368,1556,0.699333819,0.842009169,0.029783448,0.731323896,0.400914267,0.627773778,0.479770426,1.627838781,0.177063443,0.03625742,0.895782554,0.835245885,0.955368827,0.540245885,0,3.195528498,1.936355835,317.04,,,
1965,17015.99665,0,9.291708504,375388.2934,1584,0.733796558,1.014075536,0.039499039,0.850218457,0.46616659,0.676364621,0.607837982,1.788508846,0.214409551,0.059213086,0.934718702,0.833352907,0.95252936,0.538352907,0,3.152001683,1.904792082,322.08,,,
1966,18893.68084,0,9.142298604,403592.3784,1614,0.769946804,1.212343346,0.052149728,0.983735609,0.53955606,0.731786125,0.763541695,1.960324397,0.258187645,0.0941522,0.975323117,0.831478764,0.949718146,0.536478764,0,3.108474869,1.87322833,331.77,,,
1967,19787.51633,0,9.00524686,414506.8362,1646,0.807899983,1.438741605,0.06842786,1.132800297,0.621638359,0.797164074,0.950910674,2.143492399,0.309173951,0.14575903,1.017666216,0.829623269,0.946934904,0.534623269,0,3.064948054,1.841664577,341,,,
1968,22679.56382,0,8.880672213,456148.2095,1682,0.847849965,1.694891159,0.08910437,1.298241282,0.712926696,0.877360292,1.174028254,2.338153941,0.368168346,0.219701505,1.061821342,0.827786237,0.944179356,0.532786237,0,3.02142124,1.810100825,355.56,,,
1969,25905.42957,0,8.768671125,498178.656,1737,0.890196902,1.981995518,0.115006693,1.48075966,0.813875917,0.979535895,1.436869522,2.544376678,0.435979554,0.322421248,1.107864884,0.825967484,0.941451225,0.530967484,0,2.977894425,1.778537072,374.97,,,
