,BMTCB,GETCB,HYTCB,NUETB,SOTCB,WYTCB,ARTCB,AVTCB,CLTCB,DFTCB,JFTCB,KSTCB,LGTCB,MGTCB,NGTCB,RFTCB,WWTCB
1960,82097.53052,359.03968,187704.519,0.51168,0,0,70774.23143,27172.79566,35903.06676,155427.2561,140653.0595,5765.84489,35651.67368,719793.446,1301826.105,506573.157,82097.53052
1961,83506.10889,1001.32365,163670.0923,55.27264,0,0,76144.71352,17354.57387,59106.44867,160838.1504,153375.8182,6140.83606,36145.50024,748747.0507,1400173.875,522976.2254,83506.10889
1962,86897.65269,1060.6778,241087.4163,83.84509,0,0,78080.1994,24954.59057,39681.01509,173939.4232,174309.9682,5645.59746,40829.10705,778690.4606,1483423.065,430086.8714,86897.65269
1963,93021.63734,1760.48335,265551.1897,2287.60522,0,0,80479.18521,22040.13004,46127.33651,187614.1704,184117.4525,5021.47028,44069.33098,830028.1134,1623369.503,400838.9141,93021.63734
1964,98436.28025,2132.06144,231188.2433,4368.91659,0,0,83422.03673,19461.47419,53722.75475,204623.2854,199588.3946,5620.15696,43878.33133,858891.4822,1817240.67,436383.7695,98436.28025
1965,97487.844,1977.85394,319052.1299,3192.78133,0,0,78915.22805,16869.61579,63692.80664,204484.1578,222195.9139,4634.83059,44236.19439,892484.1435,1813213.342,438488.4765,97487.844
1966,100672.5268,1957.89502,273246.5965,1895.46722,0,0,80100.43033,16100.91529,51515.03837,218770.4953,244526.9955,4911.10826,39935.66324,939049.6434,1982304.88,482588.9621,100672.5268
1967,101884.788,3299.73549,368007.4733,6502.68025,0,0,73535.15058,14297.93304,53948.98003,221864.5786,292394.1248,4504.94779,43559.3354,965147.6999,2048733.968,453859.9282,101884.788
1968,110273.6937,4531.71875,282560.503,17003.40842,0,0,78732.00371,14375.77724,57010.63322,224794.1857,336576.5997,3396.19188,47123.77038,1028165.106,2187259.755,464625.5561,110273.6937
1969,116252.6616,6421.87537,422243.4716,27127.08075,0,0,86848.51496,11905.41663,60030.64937,226548.5337,341089.6262,4587.11693,56973.41058,1073470.377,2189883.373,443972.021,116252.6616
1970,116838.7983,5511.2704,399628.0481,34375.38659,0,0,80189.82455,11023.92457,61811.50474,228462.3077,332940.6112,5692.6783,58694.7742,1124480.328,2241295.478,442125.9497,116838.7983
1971,119221.2029,5739.34546,408829.5457,38137.4837,0,0,80854.88162,10277.92634,51014.75909,276029.6511,350342.2649,5913.8083,60923.01101,1151597.011,2265324.458,503392.8149,119221.2029
1972,127646.2927,15078.55931,329587.0651,34266.3591,0,0,81142.71002,10476.50325,47451.94713,268459.2464,355936.4558,6491.99713,65818.23983,1222679.377,2303562.227,490902.2169,127646.2927
1973,130121.5861,20421.79236,402618.3604,28689.30377,0,0,87351.64108,10288.8123,66956.00654,302135.0729,352492.296,5205.05835,70897.51193,1264866.848,2154045.471,708605.9296,130121.5861
