,GDPRX,NUETD,TEGDS,TETCB,TPOPP,ARTCD,AVTCD,CLTCD,DFTCD,JFTCD,KSTCD,LGTCD,MGTCD,NGTCD,RFTCD,WWTCD,BMTCB,GETCB,HYTCB,NUETD.1,SOTCB,WYTCB,GDPrate
1960,190718.2937,0.110032027,8.75183584,3451675.175,15870,0.264419525,0.946132478,0.35415,0.467118,0.167738,0.424926667,0.607954,1.967676,0.17706,0.150746667,1.030908,0.843009967,0.96701495,0.548009967,0.110032027,3.369635756,2.062610845,302.3
1961,211732.4508,0.11625042,8.355924515,3610889.845,16497,0.289763278,1.03047517,0.36443,0.545181,0.222131,0.489746667,0.721208,2.046857,0.216375,0.173391667,1.064889,0.841039735,0.964059602,0.546039735,0.11625042,3.326108941,2.031047092,305.53
1962,230229.247,0.122677859,7.989643736,3726125.494,17072,0.317134292,1.120812953,0.37471,0.623244,0.276524,0.554566667,0.834462,2.126038,0.25569,0.196036667,1.09887,0.839089107,0.96113366,0.544089107,0.122677859,3.282582127,1.99948334,309.2
1963,256168.6539,0.129310905,7.653036707,3932004.855,17668,0.3466527,1.217415369,0.38499,0.701307,0.330917,0.619386667,0.947716,2.205219,0.295005,0.218681667,1.132851,0.837157888,0.958236832,0.542157888,0.129310905,3.239055312,1.967919587,313.03
1964,287424.1103,0.136145274,7.346173076,4228588.588,18151,0.378444556,1.320548778,0.39527,0.77937,0.38531,0.684206667,1.06097,2.2844,0.33432,0.241326667,1.166832,0.835245885,0.955368827,0.540245885,0.136145274,3.195528498,1.936355835,317.04
1965,309784.2643,0.143175835,7.069125174,4394131.242,18585,0.412648639,1.430474579,0.40555,0.857433,0.439703,0.749026667,1.174224,2.363581,0.373635,0.263971667,1.200813,0.833352907,0.95252936,0.538352907,0.143175835,3.152001683,1.904792082,322.08
1966,336158.641,0.150396612,6.821991786,4657941.9,18858,0.449436232,1.547447317,0.41583,0.935496,0.494096,0.813846667,1.287478,2.442762,0.41295,0.286616667,1.234794,0.831478764,0.949718146,0.536478764,0.150396612,3.108474869,1.87322833,331.77
1967,359587.8489,0.157800857,6.605128432,4853769.753,19176,0.489062567,1.671712737,0.42611,1.013559,0.548489,0.878666667,1.400732,2.521943,0.452265,0.309261667,1.268775,0.829623269,0.946934904,0.534623269,0.157800857,3.064948054,1.841664577,341
1968,387066.5616,0.165381328,6.420089784,5129456.632,19394,0.531987441,1.803506233,0.43639,1.091622,0.602882,0.943486667,1.513986,2.601124,0.49158,0.331906667,1.302756,0.827786237,0.944179356,0.532786237,0.165381328,3.02142124,1.810100825,355.56
1969,415829.8738,0.173131281,6.272553364,5371611.427,19711,0.579129576,1.943054758,0.44667,1.169685,0.657275,1.008306667,1.62724,2.680305,0.537,0.35443,1.336737,0.825967484,0.941451225,0.530967484,0.173131281,2.977894425,1.778537072,374.97
