,CR.AZ,CR.CA,CR.NM,CR.TX
1,21.35426699,10.76383697,19.33406717,12.77358408
2,20.4274505,10.7253574,19.166092,12.7533787
3,19.78336399,10.70591869,18.71920395,12.71776677
4,19.19664492,10.66886502,18.83350997,12.69737888
5,18.75763022,10.62509929,18.85734141,12.68333318
6,18.80689148,10.60823318,19.12015478,12.66310358
7,18.33352526,10.58398092,19.06170824,12.63679877
8,18.18087089,10.56874839,18.9541947,12.61402497
9,17.5717277,10.5459091,18.92773696,12.58051063
10,17.01181819,10.52491658,18.98632271,12.54954491
11,16.72719004,10.5024616,18.8032147,12.52916048
12,16.33945855,10.46137527,18.43828896,12.49881632
13,15.74974533,10.46143776,18.12902151,12.47891982
14,15.25458595,10.43010195,18.32904714,12.44755069
15,14.6619964,10.35999924,17.36413602,12.35435731
16,14.38602402,10.32229554,17.41737269,12.37127523
17,14.20621698,10.30560592,16.9340973,12.34064699
18,14.10551234,10.2929395,16.26180755,12.28375184
19,14.05569537,10.28848655,16.08353544,12.27607104
20,13.80339082,10.25042088,15.8097601,12.23318454
21,13.60941907,10.20387556,15.41710778,12.20852279
22,13.56571055,10.19927528,15.33740008,12.19724767
23,13.63512013,10.20969613,15.78571856,12.21035373
24,13.72632844,10.23601221,15.90044262,12.21651305
25,13.69579403,10.23180938,15.74761985,12.21162114
26,11.64858903,10.23272016,15.89941703,12.22382259
27,11.82099069,10.27688567,16.24471326,12.27024542
28,11.77353696,10.26932443,16.15327253,12.27089227
29,11.78301065,10.26544769,16.15252318,10.26745791
30,11.71984433,10.25279596,16.03492524,10.26866346
31,11.66509645,10.23855873,15.81025438,10.24967034
32,11.73424215,10.25118329,15.81946339,10.25471002
33,11.65555977,10.24643409,15.89361307,10.25874227
34,11.60616153,10.25839527,15.76608979,10.2578476
35,11.60635877,10.25625154,15.85615567,10.24939461
36,11.60675963,10.25719794,16.05947686,10.25514919
37,11.47585772,10.25392607,15.75349879,10.22279947
38,11.46620347,10.24673893,15.43824804,10.22110273
39,11.48623523,10.26245903,15.47325748,10.24358366
40,11.39230856,10.2478304,15.28438259,10.23389251
41,11.20474941,10.20957482,14.85349071,10.18663738
42,11.22087941,10.19931373,14.78863877,10.19019116
43,11.2597034,10.20913327,15.00839728,10.20473205
44,11.13851263,10.18732449,14.81574791,10.18010422
45,11.01755674,10.17377409,14.5189173,10.16029632
46,10.88675442,10.15748444,14.19233293,10.14435067
47,10.81375513,10.14637894,14.04635892,10.1269072
48,10.78738627,10.14441552,13.94325243,10.1236169
49,10.72573995,10.13356754,13.82058813,10.11181782
50,10.92453451,10.16886541,14.34619224,10.15265796
