,BMTCB,GETCB,HYTCB,NUETB,SOTCB,WYTCB,ARTCB,AVTCB,CLTCB,DFTCB,JFTCB,KSTCB,LGTCB,MGTCB,NGTCB,RFTCB,WWTCB
1960,6627.60303,0,745.4528,0,0,0,6396.79018,1013.90049,4064.49554,17866.95032,11705.40022,2749.4409,12087.95572,50190.12317,207301.185,1199.15309,6627.60303
1961,6383.18415,0,553.3314,0,0,0,6716.24172,903.74283,3302.62315,16574.06805,12461.38568,1064.95607,13068.04994,50816.38357,218948.04,2027.88574,6383.18415
1962,6119.23528,0,672.22786,0,0,0,6688.73609,1451.50843,2450.69669,20489.4908,13787.58903,738.36067,12308.70206,52721.07089,247089.69,1786.03334,6119.23528
1963,6012.20356,0,456.59592,0,0,0,6815.97456,1415.74204,15765.31177,21114.0893,14382.37495,964.54961,12429.54094,54685.57286,239910.808,1410.55867,6012.20356
1964,6200.87713,0,98.72989,0,0,0,7773.469,1592.44026,31270.83576,23006.94187,14958.03056,2109.78466,15655.15485,55184.76093,226697.344,1090.752,6200.87713
1965,5626.92142,0,447.98422,0,0,0,9209.90446,1204.06032,44277.1291,22687.20891,13687.4627,2130.44666,13374.29501,56762.58426,224252.552,4395.28728,5626.92142
1966,5503.67683,0,705.83497,0,0,0,8144.31363,1016.65115,37028.96093,20768.04946,14833.43048,3496.54787,11813.63749,58571.72192,247389.808,2521.95008,5503.67683
1967,5311.94572,0,366.53875,0,0,0,7575.74812,721.53028,44142.63596,17501.79995,17255.36851,4912.94903,12409.99837,59248.7158,280382.0128,726.67635,5311.94572
1968,5259.08546,0,446.50052,0,0,0,9667.48831,651.15247,42971.21264,24335.62308,20287.19867,4896.19117,14666.92878,62301.71974,286329.4875,613.64974,5259.08546
1969,5014.25154,0,667.5633,0,0,0,6418.0506,636.82499,50225.64624,26371.02621,17755.78196,6108.61039,17522.1681,65910.03791,276591.1838,638.9624,5014.25154
1970,4857.5794,0,690.03297,0,0,0,8017.62681,561.80348,99380.42098,31513.45814,17027.29147,5636.0011,16677.87956,69055.74164,292521.9324,1383.91613,4857.5794
1971,4679.22274,0,285.4312,0,0,0,5393.73954,590.69031,120695.1121,31477.01105,16344.31347,3577.78486,16255.66658,74386.67362,291725.7888,2706.01966,4679.22274
1972,4535.82072,0,209.68694,0,0,0,6401.57056,537.69539,123807.06,38241.54056,15632.8946,3742.1314,18899.27419,79241.90686,311896.837,4087.56956,4535.82072
1973,4221.0506,0,674.8175,0,0,0,6604.93741,426.80557,134490.475,44545.46903,14911.47969,6520.54264,16933.6109,84360.64281,274017.8054,9984.40381,4221.0506
1974,4152.82025,0,765.77451,0,0,0,9058.57519,540.84777,140947.0958,40319.09083,15045.67873,3549.44155,16181.25713,82569.95908,273397.0586,14926.26194,4152.82025
1975,5342.7819,0,659.5635,0,0,0,10830.37219,409.97044,132535.212,39126.57212,14610.54371,3708.84486,14358.42493,86639.46102,255637.1358,19147.64979,5342.7819
1976,5990.5815,0,790.47447,0,0,0,9699.06492,399.00169,137492.1955,42661.63648,13350.26906,3209.51977,14299.69197,91521.01839,294878.1468,15428.23809,5990.5815
1977,7036.09195,0,291.42868,0,0,0,7953.0578,411.76566,153921.5199,51288.964,14203.35201,4716.61003,14481.22349,94581.51117,242911.8601,14293.66412,7036.09195
1978,7677.32186,0,311.77285,0,0,0,9501.10322,412.15592,145738.1405,55405.54037,12805.02927,4484.99801,13221.85345,99398.39486,225451.141,8382.54776,7677.32186
1979,9219.61811,0,702.06799,0,0,0,9429.7189,402.27032,152939.0119,54922.2932,14479.75224,5074.65,16546.69471,94428.56661,223092.3289,6544.6163,9219.61811
1980,5245.14218,0,977.49002,0,0,0,7552.98949,841.63159,202870.412,46407.62343,14565.27461,7592.13,17305.87697,88844.67509,231330.1814,6497.50084,5245.14218
1981,6811.63257,0,919.63403,0,0,0,7721.65909,686.83997,196933.4842,72643.51658,13908.94932,4348.89,11364.92674,89152.32965,205433.7148,5370.4631,6709.82574
1982,7213.8757,0,821.0258,0,0,0,9610.17431,651.31371,225548.7731,46470.27248,14314.06842,3317.30318,9832.92266,90059.75105,213350.4604,4981.48691,6866.75226
1983,8267.24898,0,933.46064,0,0,0,11773.68238,535.0619,263654.0214,39342.95864,14381.78616,10983.27915,9887.71394,89765.65969,184594.9762,21633.58926,7420.16921
1984,8947.27462,0,979.20936,0,0,0,12612.77405,419.36129,252868.0187,37100.94742,16377.33127,1472.44837,20573.2857,91648.0153,169780.7518,14379.27729,7699.18243
1985,9184.80922,0,1336.18175,0,0,0,9960.82466,477.8613,268374.4625,42994.43643,15669.6907,1080.24586,10816.72201,94053.47619,162311.5483,5185.28605,7889.324
1986,9389.1191,0,1737.58764,0,0,0,10724.60776,523.25034,241599.9204,49301.88036,15210.35701,386.78518,6394.44526,96119.57507,144531.8728,1651.19021,8101.30491
1987,6882.35499,0,1710.59142,0,0,0,13728.31817,438.10845,260668.4312,51315.80921,16356.11686,339.40166,5622.23115,99495.80592,164587.5777,547.6368,5123.17123
1988,7557.91736,0,1036.26118,0,0,0,14019.47771,277.05736,266124.4961,50587.76914,15371.49073,287.69303,5465.82668,101395.6927,185245.5484,755.19212,5393.98063
1989,6827.08737,114.5,2423.22842,0,563.33704,0,11052.32403,486.88187,279835.0174,46313.54468,15607.24372,399.58855,14287.84773,99264.57774,205131.2704,1144.61348,4247.09882
1990,5892.26845,117.28053,2136.93487,0,582.99977,0,9625.90939,433.3237,275661.3811,46441.96293,15997.85568,319.95352,28792.253,97951.29029,251469.9307,928.58983,3887.68822
1991,6168.24334,120.93937,2474.45909,0,592.44945,0,10117.33691,472.84878,234301.4643,48691.61985,13483.66267,367.43982,42408.82719,100584.7342,227349.4645,805.66245,4066.09757
1992,5962.41767,124.91641,2637.68573,0,594.13163,0,12433.53443,472.55605,267468.5381,50658.92705,15590.39755,129.67664,37895.30512,102076.5848,211096.229,806.77544,4221.04093
1993,5097.85589,127.89877,3029.06254,0,596.60783,0,16179.46817,357.69881,270272.875,44359.2224,18309.71081,97.14167,34676.49799,107130.687,224999.0888,1140.6667,4090.48701
1994,5225.57276,144.5,2196.17324,0,604.03372,0,14030.73602,311.8455,278384.8206,39645.02497,14599.48882,62.8803,31867.09299,108812.9461,221478.9856,1108.65499,3943.5587
1995,6322.92408,158.53529,2721.54304,0,600.50254,0,12336.54359,269.11171,275216.5085,29513.59059,12579.89596,91.56909,29675.3885,109587.8843,219475.7233,1127.41728,3982.95449
1996,5672.70185,160.61467,2186.89966,0,591.3285,0,10936.11685,508.43153,279149.1602,58534.59471,9151.81627,95.75019,7279.96315,105608.8608,233557.0239,1224.54841,4011.09454
1997,6402.55587,175.59761,2643.22653,0,560.51608,0,8179.98511,513.62613,288505.8768,62894.35108,9930.31564,81.56017,9644.47309,112106.0037,261880.9573,994.94868,4533.72725
1998,6930.08464,184.5,2410.69316,0,539.91699,0,13592.78849,307.80336,290367.1307,66270.56052,12461.93725,98.99027,10122.33699,114238.1357,241405.5558,853.77253,4045.77394
1999,6699.40501,643.6,2481.95246,0,509.5699,0,12624.61188,350.95745,298104.7662,67600.61242,15441.46237,265.64336,14880.26445,115626.0072,231312.1897,887.36422,4250.22633
2000,7323.19479,687.9,2255.97155,0,452.381,0,11778.1003,370.32663,305512.8733,69533.75831,17109.00574,164.48052,10300.99082,110697.8774,259018.0439,852.56567,4515.94792
2001,4336.58586,737.9,2452.22756,0,397.74667,0,5250.17366,399.28393,297095.5084,72341.97247,17380.62324,159.61582,15940.58161,112820.8761,259625.573,600.84608,2962.14899
2002,4400.64321,747.9,2691.68424,0,355.14782,0,13234.20174,371.99782,284131.9322,72205.3059,14231.33939,98.24137,12960.60484,116433.5046,229690.7958,825.90842,2913.67146
2003,4302.16571,562.58201,1748.12846,0,315.86928,1871.38914,13125.77017,324.96959,305640.8118,75778.11963,13824.5682,65.66688,10314.13612,118035.3855,225220.2961,986.92974,2814.02902
2004,4295.81309,617.87045,1392.52683,0,268.93891,5145.94623,13206.4841,447.94165,309418.1458,82429.73116,12891.77462,55.89276,10017.98418,121241.4592,229164.8137,659.75401,2873.24033
2005,13020.14274,690.1241,1649.76501,0,208.83508,7945.50537,11943.20769,300.68644,317916.0977,83709.47638,12941.79955,49.14569,10286.83303,120085.2633,225351.9866,543.8614,10807.83539
2006,12990.47148,697.27622,1966.05491,0,215.75242,12452.66968,12825.79815,245.13845,316221.4589,91873.76248,13343.73519,53.90485,11374.5464,121789.4136,227660.6042,867.74626,10332.95652
2007,14471.1765,732.44233,2648.69455,0,216.0146,13770.77428,15601.94413,231.56413,296066.66,91122.22834,11019.32986,29.28073,26239.65904,119699.4817,240560.6914,993.93251,11423.71315
2008,16129.4421,348.42218,3077.28595,0,253.26925,16188.0231,11727.13548,597.63378,284345.6173,86587.98962,10196.76612,12.58689,22556.26649,115551.7472,250857.9562,1480.83042,12075.04887
2009,17295.22312,317.06702,2644.59888,0,282.52701,15095.96768,10117.67946,437.22152,306161.5315,74505.87153,7587.28226,7.69011,22673.02944,120780.5242,247119.5569,62.73489,11633.20739
2010,18288.0306,553.1837302,2786.097457,0,233.8599914,14003.91226,11460.54089,459.0643667,287526.7809,71862.9851,6860.981501,36.39612098,20256.35539,118058.466,235740.2943,1746.114492,12272.40317
2011,19396.15378,548.9609154,2784.049622,0,229.4247554,12911.85684,11163.24686,482.597711,296087.7034,66199.19394,5475.381136,30.75526056,19528.63934,117544.3187,235069.9784,1955.336885,12611.6868
2012,20475.44803,451.3548514,2782.001787,0,224.9895193,11819.80142,10865.95283,506.1310552,295140.1544,79620.1994,4089.780771,25.11440013,18378.68379,117030.1714,234399.6624,2164.559278,12950.97044
2013,21554.74228,435.1347235,2779.953952,0,247.239615,10727.746,10568.65879,529.6643995,294192.6054,75466.86061,2704.180406,19.47353971,17228.72824,116516.0241,233729.3465,1705.437885,13127.7601
2014,22648.45099,418.9145956,2777.906117,0,250.3852898,9635.69058,10271.36476,553.1977438,293245.0563,76434.77986,5670.997378,13.83267929,16078.77269,116001.8768,233059.0306,1769.598231,13400.79236
2015,23736.39392,402.6944677,2775.858282,0,253.5309647,8543.63516,9974.070727,523.4507022,292297.5073,77402.6991,5117.990789,20.44097902,21148.78992,115487.7296,232388.7147,1833.758577,13673.82461
2016,24824.33685,386.4743398,2773.810447,0,256.6766395,7451.57974,9676.776694,526.9737143,291349.9583,78370.61835,4564.9842,20.11870407,21724.80796,114973.5823,231718.3988,1897.918923,13946.85687
2017,25912.27977,431.3613016,2771.762612,0,259.8223143,10649.73505,9379.48266,530.4967264,290402.4093,79338.5376,4011.977611,19.79642911,22300.82601,117481.5899,231450.3797,1752.766573,14219.88912
2018,27000.2227,431.8067437,2769.714777,0,262.9679892,10570.1026,10185.40337,534.0197385,291582.1162,74753.63414,4372.756994,19.47415415,22876.84405,117510.6051,230596.5909,1712.270572,14492.92138
2019,25912.27977,432.2521857,2767.666942,0,266.113664,10490.47015,10072.7195,537.5427506,291287.9843,74175.31296,4336.114375,19.15187919,23452.8621,117539.6203,229742.8022,1671.77457,14765.95363
2020,24824.33685,432.6976277,2765.619107,0,269.2593389,10410.83771,9960.035637,541.0657627,290993.8524,73596.99179,4299.471756,18.82960424,24028.88015,117568.6355,228889.0134,1631.278568,15038.98589
2021,23736.39392,433.1430697,2763.571272,0,256.7081889,10331.20526,9847.351771,544.5887748,290699.7205,73018.67061,4262.829137,18.50732928,24604.89819,117597.6507,228035.2247,1590.782566,15312.01814
2022,22648.45099,433.5885118,2761.523437,0,257.3238075,10251.57281,9734.667905,539.7942735,290405.5886,72440.34943,4226.186518,18.12070528,25180.91624,117626.6659,229104.2428,1550.286565,15585.0504
2023,21560.50806,434.0339538,2759.475602,0,257.939426,10171.94036,9621.984039,540.5447811,290393.683,71862.02826,4189.543899,17.87465719,25756.93428,117655.6811,228570.9218,1509.790563,15858.08265
2024,20472.56513,434.4793958,2757.427767,0,258.5550445,10092.30792,9509.300173,541.2952888,290172.8747,71283.70708,4280.195785,17.62860909,26332.95233,117684.6963,228037.6009,1469.294561,16131.11491
2025,19384.62221,432.7882263,2755.379932,0,259.1706631,10012.67547,9602.943809,542.0457964,289952.0663,73514.88191,4269.970339,17.38256099,26908.97038,117713.7115,227504.2799,1428.798559,16404.14716
2026,18296.67928,433.5388986,2753.332097,0,259.7862816,9933.043021,9563.538122,542.796304,289731.258,73411.24713,4259.744893,17.13651289,27484.98842,117742.7267,226970.959,1388.302557,16677.17942
2027,21125.55054,434.2895708,2751.284262,0,260.4019002,9853.410574,9524.132435,543.5468117,289510.4497,73307.61236,4249.519447,16.89046479,28061.00647,118322.8352,226437.638,1347.806556,16950.21167
2028,20908.01344,435.0402431,2749.236427,0,261.0175187,9773.778126,9381.674855,544.2973193,289289.6413,73203.97758,4239.294001,16.6444167,28637.02451,118406.3742,225904.3171,1307.310554,10807.83539
2029,20690.47633,435.7909153,2747.188592,0,261.6331372,9694.145679,9294.259268,545.0478269,289068.833,73100.34281,4227.471435,16.3983686,29213.04256,118489.9131,225878.4035,1266.814552,10332.95652
2030,20472.93922,436.5415875,2745.140757,0,262.2487558,9614.513232,9206.843682,545.7983345,288848.0247,72996.70804,4221.323148,16.51983279,29789.06061,118573.4521,225510.6576,1226.31855,11423.71315
2031,20255.40212,437.2922598,2964.942435,0,262.8643743,9534.880784,9119.428096,546.5488422,288627.2163,72893.07326,4215.17486,16.29529503,30365.07865,118656.9911,225142.9116,1185.822548,12075.04887
2032,20037.86501,438.042932,2987.73664,0,263.4799928,9455.248337,9032.012509,547.2993498,290139.1119,73527.07831,4209.026573,16.07075727,30941.0967,118740.5301,224775.1657,1145.326547,11633.20739
2033,19820.32791,438.7936043,3010.530845,0,264.0956114,9936.240903,8944.596923,548.0498574,289969.1084,73664.19223,4202.878286,15.84621951,31517.11474,118824.069,224407.4198,1436.921108,11451.1736
2034,19602.7908,439.5442765,3033.325051,0,264.7112299,9948.439875,8857.181336,548.8003651,289799.105,73801.30615,4196.729998,15.62168174,32093.13279,118907.608,224039.6739,1433.357214,11082.80146
2035,19385.2537,440.2949488,3056.119256,0,265.3268484,9960.638847,8769.76575,549.5508727,289629.1015,73938.42007,4190.581711,15.39714398,32669.15084,118456.5967,223671.928,1429.79332,10714.42932
2036,19167.71659,441.045621,3078.913461,0,265.942467,9972.837818,8682.350164,550.3013803,289270.9128,74075.53398,3994.179311,15.17260622,33245.16888,118506.0978,223304.1821,1426.229426,11336.71296
2037,18950.17949,441.7962932,3101.707666,0,266.5580855,9985.03679,8594.934577,551.051888,289216.2149,74212.6479,3962.784772,14.24388008,33821.18693,118555.5989,222936.4362,1422.665532,11369.28346
2038,18732.64238,442.5469655,3083.329245,0,261.0550161,9997.235761,8507.518991,551.8023956,289161.517,74349.76182,3931.390234,13.94892348,34397.20497,118605.0999,222568.6902,1419.101639,11401.85397
2039,18515.10528,443.2976377,3103.122987,0,261.1745248,10009.43473,8420.103405,552.5529032,289106.819,74486.87574,3899.995695,13.75456522,34973.22302,118654.601,222200.9443,1415.537745,11434.42447
2040,18297.56817,444.04831,3122.91673,0,261.2940335,10021.6337,8332.687818,553.3034109,289052.1211,74623.98966,3868.601156,13.39673466,35549.24107,118704.102,221833.1984,1411.973851,11466.99497
2041,18080.03107,444.7989822,3142.710472,0,261.4135422,10033.83268,8245.272232,554.0539185,288997.4232,74761.10358,3837.206617,13.0389041,36125.25911,118753.6031,221465.4525,1408.409957,11499.56547
2042,17862.49396,445.5496545,3162.504215,0,261.5330509,10046.03165,8157.856645,554.8044261,288942.7252,74898.2175,3805.812079,12.68107353,36701.27716,118803.1042,221097.7066,1404.846063,11532.13597
2043,20407.53561,446.3003267,3182.297957,0,261.6525596,10058.23062,8070.441059,555.5549337,288888.0273,75035.33142,3774.41754,12.32324297,37277.2952,118852.6052,220729.9607,1401.282169,11564.70647
2044,20419.68628,447.050999,3202.0917,0,261.7720683,10070.42959,7983.025473,556.3054414,288833.3294,75172.44534,3743.023001,11.96541241,37853.31325,118902.1063,220362.2148,1397.718275,11597.27697
2045,20431.83695,433.6782509,3221.885442,0,261.891577,10082.62856,7895.609886,557.055949,288778.6314,75309.55926,3711.628463,11.60758185,38429.3313,118951.6074,219994.4688,1394.154382,11629.84747
2046,20443.98762,433.2342288,3241.679185,0,262.0110857,10094.82753,7808.1943,557.8064566,288723.9335,75446.67317,3680.233924,11.24975129,39005.34934,119001.1084,219626.7229,1390.590488,11662.41797
2047,20456.13829,432.7902068,3261.472928,0,262.1305944,10107.02651,7720.778714,558.5569643,288669.2356,75583.78709,3648.839385,10.89192072,39581.36739,119050.6095,219258.977,1387.026594,11694.98847
2048,20468.28896,432.3461848,3281.26667,0,262.2501031,10119.22548,7633.363127,559.3074719,288614.5376,75720.90101,3617.444846,10.53409016,40157.38543,119100.1105,218891.2311,1383.4627,11727.55897
2049,20480.43963,431.9021627,3301.060413,0,262.3696118,10131.42445,7545.947541,560.0579795,288559.8397,75858.01493,3586.050308,10.1762596,40733.40348,119149.6116,218523.4852,1379.898806,11760.12947
2050,20492.5903,431.4581407,3320.854155,0,262.4891205,10143.62342,7458.531955,560.8084872,288505.1418,75995.12885,3554.655769,9.818429037,41309.42153,119199.1127,218155.7393,1376.334912,11792.69997
