X,GDPRX,NUETD,TEGDS,TETCB,TPOPP,ARTCD,AVTCD,CLTCD,DFTCD,JFTCD,KSTCD,LGTCD,MGTCD,NGTCD,RFTCD,WWTCD,BMTCB,GETCB,HYTCB,NUETD.1,SOTCB,WYTCB,GDPrate
1960,10985.82957,0,12.882794,329020.2759,954,0.82484,1.604585,0.10427,0.777253333,0.582825,0.748928333,0.985305,2.597899,0.224148,0.14686,0.439202,0.843009967,0.96701495,0.548009967,0,3.369635756,2.062610845,302.3
1961,11486.37584,0,12.644503,340701.4578,965,0.85071,1.659285,0.108395,0.806203333,0.6009,0.777673333,1.02021,2.630023,0.242266,0.16584,0.500214,0.841039735,0.964059602,0.546039735,0,3.326108941,2.031047092,305.53
1962,12626.48195,0,12.406212,376677.1919,979,0.82272,1.713985,0.11252,0.835153333,0.618975,0.806418333,1.055115,2.662147,0.260384,0.18482,0.561226,0.839089107,0.96113366,0.544089107,0,3.282582127,1.99948334,309.2
1963,12728.94577,0,12.167921,371058.2277,989,0.82484,1.768685,0.116645,0.864103333,0.63705,0.835163333,1.09002,2.694271,0.278502,0.2038,0.622238,0.837157888,0.958236832,0.542157888,0,3.239055312,1.967919587,313.03
1964,13016.96072,0,11.92963,366521.6578,1006,0.85071,1.823385,0.12077,0.893053333,0.655125,0.863908333,1.124925,2.726395,0.29662,0.22278,0.68325,0.835245885,0.955368827,0.540245885,0,3.195528498,1.936355835,317.04
1965,12844.55935,0,11.691339,353838.4716,1012,0.82272,1.878085,0.124895,0.922003333,0.6732,0.892653333,1.15983,2.758519,0.314738,0.24176,0.744262,0.833352907,0.95252936,0.538352907,0,3.152001683,1.904792082,322.08
1966,13283.07003,0,11.453048,376544.8408,1007,0.82484,1.932785,0.12902,0.950953333,0.691275,0.921398333,1.194735,2.790643,0.332856,0.26074,0.805274,0.831478764,0.949718146,0.536478764,0,3.108474869,1.87322833,331.77
1967,13851.33871,0,11.214757,407789.8315,1000,0.85071,1.987485,0.133145,0.979903333,0.70935,0.950143333,1.22964,2.822767,0.350974,0.27972,0.866286,0.829623269,0.946934904,0.534623269,0,3.064948054,1.841664577,341
1968,14351.0491,0,10.976466,436374.2634,994,0.82272,2.042185,0.13727,1.008853333,0.727425,0.978888333,1.264545,2.854891,0.369092,0.2987,0.927298,0.827786237,0.944179356,0.532786237,0,3.02142124,1.810100825,355.56
1969,14631.07042,0,10.738175,429216.4378,1011,0.82484,2.096885,0.141395,1.037803333,0.7455,1.007633333,1.29945,2.887015,0.38721,0.31768,0.98831,0.825967484,0.941451225,0.530967484,0,2.977894425,1.778537072,374.97
1970,15642.28997,0,10.43101,458770.2615,1023,0.57613,2.16982,0.14409,1.06605,0.75673,1.02804,1.3386,2.93881,0.39431,0.33666,1.04308,0.824166827,0.938750241,0.529166827,0,2.934367611,1.74697332,396.87
1971,16766.58848,0,10.35186,469593.5421,1053.737,0.82272,2.21236,0.1519,1.09711,0.79534,1.0818,1.36077,2.95686,0.43533,0.4375,1.11961,0.822384087,0.936076131,0.527384087,0,2.890840796,1.715409567,413.93
1972,18303.10729,0,10.04939,501838.8355,1078.697,0.82484,2.19413,0.15355,1.12395,0.79288,1.08553,1.40841,2.91318,0.45085,0.56315,1.17152,0.820619086,0.933428629,0.525619086,0,2.847313982,1.683845815,427.47
