,BMTCB,GETCB,HYTCB,NUETB,SOTCB,WYTCB,ARTCB,AVTCB,CLTCB,DFTCB,JFTCB,KSTCB,LGTCB,MGTCB,NGTCB,RFTCB,WWTCB
1960,38296.32121,0,11858.66056,0,0,0,41700.15006,16459.98886,24973.50023,142127.6182,58553.6845,19228.95076,293995.4532,482442.8817,2815482.555,141986.4612,38296.32121
1961,38880.11404,0,13142.739,0,0,0,48304.65713,14413.73441,18203.31918,127564.0066,63945.86159,7709.32471,304634.5551,495527.4471,2831992.875,137169.7626,38880.11404
1962,39275.11374,0,8446.13605,0,0,0,50028.63007,19602.90128,20582.13241,140154.8212,76441.88697,8263.92788,328630.9184,513591.375,2959562.835,117609.6079,39275.11374
1963,37708.94855,0,5008.91804,0,0,0,47426.65965,18447.64583,19173.18137,139998.6596,79790.24463,11954.48976,349923.8481,532417.6605,3044427.711,110980.2379,37708.94855
1964,39136.42295,0,4747.83345,0,0,0,48850.52367,17013.57996,26231.64422,140056.7563,84507.03126,20902.72887,406905.7713,547229.4588,3040491.913,109789.5921,39136.42295
1965,41195.86221,0,7770.917,0,0,0,51835.30801,17453.45192,29182.3709,144776.8853,84341.99923,19610.20621,437635.307,566541.781,3181455.854,90040.08913,41195.86221
1966,43784.76569,0,8195.3552,0,0,0,56112.98503,15202.1357,27843.51254,133112.6922,97166.93501,42311.96426,444718.4457,596020.4586,3404262.302,87396.33892,43784.76569
1967,43900.74682,0,6043.41408,0,0,0,59552.82597,13483.16055,23523.05369,131443.0608,116822.4468,39824.87195,435741.3468,618697.4573,3638596.329,88628.63204,43900.74682
1968,49148.74211,0,13790.12914,0,0,0,61556.25906,11221.48194,24996.16792,134185.4691,133916.7054,39492.05072,491894.3709,667332.223,3836858.984,87615.61314,49148.74211
1969,51072.6541,0,13278.80561,0,0,0,66144.67003,11039.17387,25141.17685,172809.2034,139241.964,42305.93434,571434.001,704029.7955,4024716.694,90871.42511,51072.6541
1970,52206.96065,0,10549.85956,0,0,0,78867.81815,10131.47568,30766.97153,188785.8213,135936.2979,42524.98736,571469.957,742738.4877,4203877.355,88935.6597,52206.96065
1971,51251.00553,0,9219.70746,0,0,0,76174.8896,10084.76133,24047.85711,203443.4567,139441.5159,32438.06065,582256.2149,780703.291,4482575.729,76236.25121,51251.00553
1972,58945.01261,0,8614.71531,0,0,0,75513.20535,7898.38303,50140.23599,268065.2189,144398.2006,41304.97708,670387.0699,836498.2877,4531776.683,93425.66817,58945.01261
1973,60439.09072,0,17662.50512,0,0,0,77978.03958,7846.78142,125909.1766,313105.1253,148191.7311,49380.01373,690471.1799,890126.3357,4746154.938,187063.7589,60439.09072
1974,59655.88703,0,17035.43383,0,0,0,81041.71494,8092.19736,133140.8435,324572.2286,144861.0374,43074.97945,658687.5627,881793.7933,4584002.31,226130.3162,59655.88703
1975,55819.63573,0,20052.04982,0,0,0,54080.38215,6623.55788,196171.6773,318661.4987,152661.5889,40802.56809,584169.4634,922103.0879,4046930.491,242278.5337,55819.63573
1976,64884.2786,0,11080.38674,0,0,0,44787.12216,6411.47888,226342.1596,339727.9928,143321.1193,30271.3815,595427.3641,980752.7785,4074689.901,278540.7671,64884.2786
1977,70366.48853,0,12199.3185,0,0,0,36099.21111,6872.75048,288186.5403,435294.6356,149255.0671,38616.29082,597000.8381,1024425.611,4254884.869,337771.1895,70366.48853
1978,76251.79482,0,7923.41934,0,0,0,47413.57372,6454.46932,418437.8002,471618.3227,156520.6478,46250.17736,605481.5726,1061057.132,4329772.852,382721.6104,76251.79482
1979,77272.92271,0,12447.87779,0,0,0,62155.19263,5935.54178,587641.9574,518491.3233,163989.4691,100188.9,670627.4103,1029506.361,4131399.272,453139.328,77272.92271
1980,55647.5248,0,10171.1505,0,0,0,72373.22122,6380.28325,734144.6213,422385.5605,173277.1752,87062.85,697333.8209,950778.4495,4226104.775,409093.7365,55647.5248
