X,GDPRX,NUETD,TEGDS,TETCB,TPOPP,ARTCD,AVTCD,CLTCD,DFTCD,JFTCD,KSTCD,LGTCD,MGTCD,NGTCD,RFTCD,WWTCD,BMTCB,GETCB,HYTCB,NUETD.1,SOTCB,WYTCB,GDPrate
1960,153280.0409,0,10.453419,4432113.328,9624,0.61354,1.604585,0.343128,0.59624,0.551925,0.562916667,0.630575,2.322961,0.093054,0.03763,1.169497,0.843009967,0.96701495,0.548009967,0,3.369635756,2.062610845,302.3
1961,158495.9317,0,10.427823,4464360.784,9820,0.626405,1.659285,0.349101,0.63212,0.56904,0.583806667,0.67486,2.357532,0.113573,0.07538,1.195049,0.841039735,0.964059602,0.546039735,0,3.326108941,2.031047092,305.53
1962,168142.262,0,10.402227,4658506.205,10053,0.63927,1.713985,0.355074,0.668,0.586155,0.604696667,0.719145,2.392103,0.134092,0.11313,1.220601,0.839089107,0.96113366,0.544089107,0,3.282582127,1.99948334,309.2
1963,174546.5357,0,10.376631,4836948.144,10159,0.652135,1.768685,0.361047,0.70388,0.60327,0.625586667,0.76343,2.426674,0.154611,0.15088,1.246153,0.837157888,0.958236832,0.542157888,0,3.239055312,1.967919587,313.03
1964,179737.9099,0,10.351035,4949455.482,10270,0.665,1.823385,0.36702,0.73976,0.620385,0.646476667,0.807715,2.461245,0.17513,0.18863,1.271705,0.835245885,0.955368827,0.540245885,0,3.195528498,1.936355835,317.04
1965,186980.8994,0,10.325439,5157923.988,10378,0.677865,1.878085,0.372993,0.77564,0.6375,0.667366667,0.852,2.495816,0.195649,0.22638,1.297257,0.833352907,0.95252936,0.538352907,0,3.152001683,1.904792082,322.08
1966,196620.3852,0,10.299843,5467800.562,10492,0.69073,1.932785,0.378966,0.81152,0.654615,0.688256667,0.896285,2.530387,0.216168,0.26413,1.322809,0.831478764,0.949718146,0.536478764,0,3.108474869,1.87322833,331.77
1967,205640.7314,0,10.274247,5754378.95,10599,0.703595,1.987485,0.384939,0.8474,0.67173,0.709146667,0.94057,2.564958,0.236687,0.30188,1.348361,0.829623269,0.946934904,0.534623269,0,3.064948054,1.841664577,341
1968,219940.6852,0,10.248651,6131528.841,10819,0.71646,2.042185,0.390912,0.88328,0.688845,0.730036667,0.984855,2.599529,0.257206,0.33963,1.373913,0.827786237,0.944179356,0.532786237,0,3.02142124,1.810100825,355.56
1969,235000.1278,0,10.223055,6520279.712,11045,0.729325,2.096885,0.396885,0.91916,0.70596,0.750926667,1.02914,2.6341,0.277725,0.37738,1.399465,0.825967484,0.941451225,0.530967484,0,2.977894425,1.778537072,374.97
1970,246538.2839,0,10.17714,6780547.493,11236,0.73506,2.16982,0.38555,0.9397,0.71659,0.7648,1.06512,2.66044,0.29356,0.41513,1.43109,0.824166827,0.938750241,0.529166827,0,2.934367611,1.74697332,396.87
1971,262435.0187,0,10.22598,7105345.262,11509.848,0.76214,2.21236,0.44637,1.0216,0.75316,0.80674,1.13432,2.73462,0.32633,0.45288,1.44204,0.822384087,0.936076131,0.527384087,0,2.890840796,1.715409567,413.93
1972,278844.0144,0,10.09899,7470968.316,11759.148,0.77514,2.19413,0.39165,1.01146,0.75082,0.80658,1.15369,2.69975,0.3382,0.57126,1.47496,0.820619086,0.933428629,0.525619086,0,2.847313982,1.683845815,427.47
1973,301277.2542,0,10.13415,8071725.41,12019.543,0.77361,2.35823,0.4237,1.22933,0.89169,0.95662,1.39534,2.7873,0.358,0.54389,1.50529,0.818871647,0.930807471,0.523871647,0,2.803787167,1.652282062,453.8
1974,306932.5088,0,12.97587,7921551.775,12268.629,1.56381,3.23346,0.67099,2.20228,1.53826,2.16577,2.458,3.97545,0.53869,1.40443,1.59288,0.817141595,0.928212393,0.522141595,0,2.760260353,1.62071831,503.86
1975,304480.6754,0,12.65304,7365142.004,12568.843,1.76904,3.44618,0.61268,2.35153,2.00583,2.23713,2.48688,4.36022,0.89233,1.61178,1.60173,0.815428758,0.925643137,0.520428758,0,2.716733539,1.589154557,550.21
1976,324138.6343,0,13.13231,7676636.933,12904.089,1.851,3.58597,0.74409,2.60696,2.11933,2.84725,2.63821,4.55947,1.20548,1.56989,1.63427,0.813732963,0.923099445,0.518732963,0,2.673206724,1.557590805,581.85
1977,374213.9605,0,13.84035,8259469.661,13193.05,1.99779,3.9687,0.79707,2.85533,2.47523,3.10478,3.0967,4.84773,1.35918,1.76453,1.68652,0.812054042,0.920581063,0.517054042,0,2.62967991,1.526027052,619.67
1978,394809.5719,0,13.62885,8684864.669,13500.429,2.22205,4.29319,0.87401,2.97896,2.85616,3.3296,2.58888,4.87735,1.70807,1.63474,1.71488,0.810391827,0.91808774,0.515391827,0,2.586153095,1.494463299,666.89
1979,407951.5335,0,15.94028,8970132.66,13888.371,2.51259,5.73257,1.13718,4.57494,3.95596,4.69483,4.30092,6.58939,1.93359,2.15096,1.9053,0.808746151,0.915619226,0.513746151,0,2.542626281,1.462899547,741.71
1980,422330.7406,0,17.43509,9025782.041,14338.208,3.79301,9.01902,1.21575,6.72753,6.33974,6.90501,5.27871,9.26158,2.1653,2.4886,2.40092,0.807116849,0.913175274,0.512116849,0,2.499099466,1.431335794,842.44
1981,448999.4169,0,17.60098,8839051.882,14746.318,5.18203,10.84113,1.46963,7.7792,7.46961,7.63712,5.98549,10.50106,2.77635,3.09595,2.68586,0.80550376,0.910755639,0.51050376,0,2.455572652,1.399772042,929.63
1982,450621.4156,0,16.46509,8253855.618,15331.415,4.41592,10.91601,1.60728,7.322,7.09057,7.34851,6.12657,9.82744,3.43795,3.52532,3.09327,0.803906721,0.908360081,0.508906721,0,2.412045837,1.368208289,986.89
1983,449934.8952,0,15.99605,8226486.996,15751.676,4.23738,10.44176,1.68373,6.58771,6.27407,6.72527,6.63026,8.73501,3.52749,3.48862,2.59422,0.802325572,0.905988358,0.507325572,0,2.368519023,1.336644537,1018.67
1984,476135.8323,0,15.47387,8756179.058,16007.086,4.18522,10.26704,1.6831,6.6246,6.04444,6.66144,6.4435,8.65772,3.68209,3.58775,2.92209,0.800760157,0.903640235,0.505760157,0,2.324992208,1.305080784,1062.48
1985,497448.1408,0,13.94736,8819179.128,16272.734,4.20109,9.99247,1.59665,6.36404,5.66667,6.46908,4.58611,8.78698,3.38081,4.00471,2.65208,0.799210317,0.901315476,0.504210317,0,2.281465394,1.273517032,1100.19
1986,486358.1962,0,11.61475,8707922.255,16561.113,4.57673,8.41165,1.54682,5.1023,3.56296,4.33226,4.41952,6.4683,2.62231,1.4531,1.97456,0.797675899,0.899013848,0.502675899,0,2.237938579,1.241953279,1121.21
1987,484449.5187,0,11.65302,8948631.769,16621.791,3.3466,7.54635,1.53731,5.86757,3.85185,4.54927,3.87407,7.18789,2.37884,2.58503,2.12328,0.796156748,0.896735122,0.501156748,0,2.194411765,1.210389527,1162.24
1988,513456.8908,0.37121,11.15581,9519199.747,16667.022,3.21436,7.41323,1.4653,5.62835,3.57037,4.12191,3.76516,7.32381,2.44324,1.83728,2.26302,0.794652714,0.89447907,0.499652714,0.37121,2.15088495,1.178825774,1209.66
1989,526568.6756,0.41635,10.88807,9805582.659,16806.735,2.84357,8.27853,1.44052,6.21148,4.15556,4.59211,2.82841,7.91548,2.49619,2.43036,1.59987,0.793163644,0.892245466,0.498163644,0.41635,2.107358136,1.147262022,1268.09
